:START_ID,:END_ID,:TYPE,relationType,signallingValue
occ-1,skill-1,REQUIRES_SKILL,essential,0.9
occ-1,skill-2,REQUIRES_SKILL,essential,0.85
occ-1,skill-3,REQUIRES_SKILL,essential,0.8
occ-1,skill-4,REQUIRES_SKILL,essential,0.85
occ-1,skill-5,REQUIRES_SKILL,optional,0.6
occ-1,skill-6,REQUIRES_SKILL,optional,0.5
occ-1,skill-19,REQUIRES_SKILL,optional,0.4
occ-2,skill-1,REQUIRES_SKILL,essential,0.9
occ-2,skill-2,REQUIRES_SKILL,essential,0.9
occ-2,skill-3,REQUIRES_SKILL,essential,0.85
occ-2,skill-4,REQUIRES_SKILL,essential,0.8
occ-3,skill-1,REQUIRES_SKILL,essential,0.9
occ-3,skill-2,REQUIRES_SKILL,essential,0.85
occ-3,skill-4,REQUIRES_SKILL,essential,0.85
occ-3,skill-6,REQUIRES_SKILL,essential,0.7
occ-4,skill-1,REQUIRES_SKILL,essential,0.85
occ-4,skill-2,REQUIRES_SKILL,essential,0.9
occ-4,skill-3,REQUIRES_SKILL,essential,0.8
occ-4,skill-5,REQUIRES_SKILL,essential,0.75
occ-5,skill-1,REQUIRES_SKILL,essential,0.7
occ-5,skill-2,REQUIRES_SKILL,essential,0.8
occ-5,skill-5,REQUIRES_SKILL,optional,0.5
occ-5,skill-19,REQUIRES_SKILL,optional,0.4
occ-6,skill-7,REQUIRES_SKILL,essential,0.95
occ-6,skill-8,REQUIRES_SKILL,essential,0.9
occ-6,skill-1,REQUIRES_SKILL,optional,0.4
occ-6,skill-19,REQUIRES_SKILL,optional,0.3
occ-7,skill-7,REQUIRES_SKILL,essential,0.9
occ-7,skill-8,REQUIRES_SKILL,essential,0.95
occ-7,skill-21,REQUIRES_SKILL,optional,0.5
occ-8,skill-7,REQUIRES_SKILL,essential,0.85
occ-8,skill-8,REQUIRES_SKILL,essential,0.9
occ-8,skill-9,REQUIRES_SKILL,essential,0.95
occ-8,skill-21,REQUIRES_SKILL,optional,0.5
occ-9,skill-10,REQUIRES_SKILL,essential,0.95
occ-9,skill-11,REQUIRES_SKILL,essential,0.8
occ-9,skill-20,REQUIRES_SKILL,essential,0.85
occ-9,skill-22,REQUIRES_SKILL,optional,0.6
occ-9,skill-19,REQUIRES_SKILL,optional,0.5
occ-10,skill-10,REQUIRES_SKILL,essential,0.85
occ-10,skill-12,REQUIRES_SKILL,essential,0.95
occ-10,skill-11,REQUIRES_SKILL,optional,0.6
occ-10,skill-20,REQUIRES_SKILL,optional,0.7
occ-11,skill-13,REQUIRES_SKILL,essential,0.95
occ-11,skill-11,REQUIRES_SKILL,essential,0.85
occ-11,skill-14,REQUIRES_SKILL,optional,0.6
occ-11,skill-20,REQUIRES_SKILL,essential,0.8
occ-11,skill-19,REQUIRES_SKILL,optional,0.5
occ-12,skill-17,REQUIRES_SKILL,essential,0.95
occ-12,skill-15,REQUIRES_SKILL,essential,0.9
occ-12,skill-19,REQUIRES_SKILL,essential,0.85
occ-12,skill-21,REQUIRES_SKILL,optional,0.6
occ-13,skill-18,REQUIRES_SKILL,essential,0.95
occ-13,skill-15,REQUIRES_SKILL,essential,0.8
occ-13,skill-19,REQUIRES_SKILL,essential,0.9
occ-13,skill-21,REQUIRES_SKILL,optional,0.5
occ-14,skill-21,REQUIRES_SKILL,essential,0.9
occ-14,skill-20,REQUIRES_SKILL,essential,0.8
occ-14,skill-19,REQUIRES_SKILL,essential,0.85
occ-14,skill-23,REQUIRES_SKILL,optional,0.6
occ-15,skill-19,REQUIRES_SKILL,essential,0.9
occ-15,skill-22,REQUIRES_SKILL,essential,0.85
occ-15,skill-23,REQUIRES_SKILL,optional,0.7
occ-15,skill-21,REQUIRES_SKILL,optional,0.5
occ-16,skill-24,REQUIRES_SKILL,essential,0.95
occ-16,skill-25,REQUIRES_SKILL,essential,0.9
occ-16,skill-26,REQUIRES_SKILL,essential,0.8
occ-16,skill-21,REQUIRES_SKILL,optional,0.6
occ-16,skill-23,REQUIRES_SKILL,optional,0.5
occ-17,skill-27,REQUIRES_SKILL,essential,0.95
occ-17,skill-24,REQUIRES_SKILL,essential,0.7
occ-17,skill-25,REQUIRES_SKILL,essential,0.85
occ-17,skill-21,REQUIRES_SKILL,optional,0.5
occ-18,skill-28,REQUIRES_SKILL,essential,0.95
occ-18,skill-19,REQUIRES_SKILL,essential,0.9
occ-18,skill-21,REQUIRES_SKILL,optional,0.6
occ-18,skill-25,REQUIRES_SKILL,optional,0.5
occ-19,skill-15,REQUIRES_SKILL,essential,0.95
occ-19,skill-16,REQUIRES_SKILL,essential,0.9
occ-19,skill-19,REQUIRES_SKILL,essential,0.85
occ-19,skill-20,REQUIRES_SKILL,optional,0.7
occ-19,skill-22,REQUIRES_SKILL,optional,0.6
occ-20,skill-29,REQUIRES_SKILL,essential,0.95
occ-20,skill-30,REQUIRES_SKILL,essential,0.85
occ-20,skill-19,REQUIRES_SKILL,essential,0.9
occ-20,skill-23,REQUIRES_SKILL,optional,0.7
occ-20,skill-21,REQUIRES_SKILL,optional,0.6
